Month,CPI_SA,Core_SA,Services_SA,PPI_SA,CoreGoods_SA,PPI_Mfg_SA,USDTRY,EURTRY
2009-10-01,167.4233996,163.0693058,190.1451778,160.8350436,123.3398871,158.38,1.4656571428571428,2.1719190476190473
2009-11-01,168.9780401,164.005374,190.682009,162.9150632,123.6850313,160.08,1.4835973684210526,2.2108184210526316
2009-12-01,170.6505873,164.795975,191.354381,163.9847876,123.6566352,160.53,1.5031282608695653,2.1995826086956525
2010-01-01,173.2016822,165.8782379,192.2130062,164.9356537,123.8996712,160.88,1.4698600000000002,2.10232750
2010-02-01,175.7278122,166.906141,193.2773913,167.6792987,123.8580856,161.51,1.50919500,2.0689124999999997
2010-03-01,176.6552205,167.800306,195.8192786,170.9379962,124.3840499,164.6,1.531995652173913,2.080515217391304
2010-04-01,177.2549999,168.291346,195.7691792,174.9593675,124.7328574,166.11,1.4914595238095238,2.004190476190476
2010-05-01,177.1265564,168.8983556,196.1152407,172.9486818,125.0802381,165.59,1.5385075000000001,1.9441899999999999
2010-06-01,177.6647542,169.3198219,196.3347625,172.0770545,125.2348097,164.77,1.5740750000000001,1.9226795454545456
2010-07-01,177.8938861,169.6347518,196.8132039,171.8096234,125.6639502,165.11,1.5400227272727274,1.960818181818182
2010-08-01,179.303841,169.8453004,197.290518,173.7905945,125.7473981,165.48,1.5052523809523808,1.9465214285714285
2010-09-01,181.1460067,169.9786177,197.5062071,174.6721267,125.7758464,166.4,1.49251000,1.94848500
2010-10-01,181.7328662,170.1103128,197.9882849,176.7818609,125.453103,166.54,1.42188000,1.97492000
2010-11-01,181.3618595,171.1243457,198.942645,176.227189,125.6430616,167.87,1.4329749999999999,1.9673777777777777
2010-12-01,181.55739,172.7311498,200.0793192,178.5350203,126.2967533,171.16,1.516795652173913,2.0041086956521736
2011-01-01,181.6450265,173.7963359,200.9656034,182.7544888,126.734993,175.19,1.5575642857142857,2.0788142857142855
2011-02-01,182.9854118,174.9685323,201.8455678,185.9042328,127.978116,179.25,1.5866500000000001,2.16486500
2011-03-01,183.732911,176.2962736,202.9367054,188.1724447,129.0536997,181.9,1.5784673913043479,2.20790000
2011-04-01,184.7766932,177.5560838,203.754154,189.321408,130.1062264,182.14,1.5192785714285715,2.1921738095238092
2011-05-01,189.9355007,179.0083787,204.6840561,189.6086488,131.2771124,184.25,1.5679309523809524,2.254307142857143
2011-06-01,188.9138883,180.1743273,205.8586874,189.6185536,132.3288797,185.5,1.5978568181818182,2.2989318181818184
2011-07-01,189.2381021,181.3314778,207.0087198,189.5690293,132.7795464,187.98,1.6506857142857143,2.3585119047619045
2011-08-01,191.166726,182.9613067,208.1460834,192.9069656,134.2261959,191.72,1.748442857142857,2.5058309523809523
2011-09-01,192.3129768,184.545794,209.4970185,195.8883272,135.4027685,194.73,1.7908309523809525,2.4695428571428573
2011-10-01,195.5984561,186.1453231,210.6356055,199.0281663,136.6512777,196.4,1.8314880952380952,2.5050285714285714
2011-11-01,198.6773169,187.6193424,211.7817087,200.3157976,138.0675634,195.41,1.8081236842105264,2.4527763157894737
2011-12-01,200.5725755,188.9107403,212.7273737,202.3264832,139.0213509,196.13,1.8633363636363638,2.4581022727272726
2012-01-01,200.7969731,190.2586605,213.8980904,203.099062,139.9989183,196.35,1.84337500,2.378047727272727
2012-02-01,202.0407246,191.4574954,215.0008391,202.9108697,140.5748739,196.35,1.7553119047619048,2.3201857142857145
2012-03-01,202.9131722,193.084757,216.1325398,203.643829,141.2268405,198.22,1.7835886363636364,2.3561022727272727
2012-04-01,205.246849,195.0958186,217.6465926,203.8122116,142.3104113,198.57,1.78413000,2.34887500
2012-05-01,205.6624808,195.7796696,218.9091113,204.8918408,142.3677747,198.05,1.801290909090909,2.3107931818181817
